,avg_temp,max_temp,min_temp,rel_humidity,total_rainfall,avg_visibility,avg_windspeed,max_windspeed,PM2.5,PM2.5_Predicted
60,28.4,35.3,23.3,56.0,0.0,7.7,3.3,5.4,0.0,98.46071428571433
61,28.7,37.0,22.7,43.0,0.0,6.9,3.5,5.4,94.75,94.75
62,29.6,37.6,24.0,51.0,0.0,6.9,4.8,7.6,142.5,142.5
63,28.3,37.6,24.0,58.0,0.51,6.9,6.5,11.1,133.375,133.375
64,28.8,35.1,24.3,58.0,0.0,6.9,4.6,5.4,147.83333333333334,147.8333333333339
65,28.0,35.1,23.4,61.0,0.0,6.9,5.9,7.6,158.29166666666666,81.64964285714301
66,26.9,35.3,22.2,63.0,1.02,6.9,4.3,7.6,149.58333333333334,43.76071428571427
67,26.1,32.1,22.1,68.0,0.0,6.9,4.4,5.4,101.5,71.58880952380956
68,26.3,32.1,21.9,63.0,0.0,6.9,6.5,11.1,106.5,107.75297619047626
69,26.4,33.8,21.6,58.0,0.0,7.6,5.6,7.6,128.125,87.18464285714279
70,26.2,35.7,22.4,71.0,4.06,6.9,3.0,5.4,101.95833333333333,46.524166666666574
71,25.2,33.8,21.4,75.0,13.97,6.3,5.0,7.6,98.41666666666667,98.41666666666701
72,27.3,34.0,20.9,64.0,0.0,6.9,5.0,9.4,94.375,64.97797619047627
73,26.5,33.5,22.0,58.0,0.0,6.3,8.0,11.1,107.625,107.625
74,26.6,33.0,22.0,62.0,0.0,6.9,6.3,7.6,110.41666666666667,110.41666666666671
75,25.5,33.0,20.6,66.0,0.0,6.9,6.3,7.6,95.83333333333333,95.83333333333292
76,23.7,31.3,20.8,81.0,30.99,5.8,2.8,5.4,72.25,72.25
77,22.3,27.6,20.0,86.0,12.95,5.5,6.1,9.4,45.375,39.82880952380946
78,22.3,27.6,19.2,85.0,5.08,5.5,6.3,7.6,65.16666666666667,65.16666666666683
79,23.8,29.9,21.0,80.0,0.0,6.9,8.7,11.1,66.08333333333333,66.08333333333314
80,23.0,28.8,20.1,77.0,2.03,6.3,8.1,11.1,77.66666666666667,77.66666666666701
81,23.8,28.4,20.1,70.0,0.0,6.9,12.4,18.3,70.25,70.25
82,23.7,28.3,20.0,69.0,0.0,6.9,11.3,14.8,56.291666666666664,56.291666666666664
83,23.7,28.3,20.5,70.0,0.0,6.3,9.8,16.5,77.0,77.0
84,23.4,28.6,20.0,74.0,0.0,6.9,9.6,11.1,32.958333333333336,61.120595238095234
85,24.3,29.2,20.2,71.0,0.0,7.4,8.5,11.1,80.625,80.625
86,23.6,30.2,20.3,74.0,0.0,6.9,7.2,9.4,90.70833333333333,90.70833333333287
87,23.4,30.2,20.0,78.0,6.1,6.9,5.0,5.4,97.29166666666667,97.29166666666704
88,23.4,28.4,20.6,77.0,0.0,6.9,8.9,18.3,50.708333333333336,50.708333333333464
89,22.4,27.8,20.4,87.0,0.0,6.9,5.2,5.4,40.375,97.49190476190486
90,23.5,28.5,20.6,75.0,14.99,6.9,5.7,7.6,49.416666666666664,91.04857142857144
91,23.7,29.2,19.4,70.0,0.0,6.9,8.5,14.8,61.875,61.875
92,22.6,29.2,19.8,79.0,0.0,5.5,6.9,11.1,0.0,0.0
93,22.2,28.1,19.9,83.0,3.05,6.9,6.7,11.1,29.666666666666668,29.666666666666636
94,23.3,29.6,20.6,76.0,10.92,6.3,5.0,9.4,49.125,73.8211904761905
95,23.8,28.7,20.5,73.0,0.0,6.9,5.7,9.4,43.666666666666664,43.66666666666645
96,22.6,28.8,20.4,82.0,0.0,6.9,5.6,7.6,29.833333333333332,29.833333333333368
97,22.2,27.3,20.2,84.0,0.0,6.3,5.9,9.4,35.208333333333336,35.20833333333346
98,23.1,27.4,19.8,79.0,6.1,6.3,5.0,7.6,37.625,72.70452380952375
99,23.1,28.3,20.2,81.0,3.05,5.8,4.6,7.6,41.458333333333336,81.6617857142856
100,21.4,27.0,19.7,90.0,9.91,6.3,5.4,7.6,38.583333333333336,52.71321428571431
101,21.3,27.0,19.7,93.0,49.02,6.3,5.4,7.6,36.0,36.0
102,22.5,26.0,19.9,84.0,5.08,6.3,5.9,7.6,70.58333333333333,70.58333333333309
103,23.1,27.6,19.8,75.0,1.02,6.9,9.8,11.1,33.166666666666664,47.291547619047506
104,22.6,27.6,20.0,77.0,0.0,6.9,8.1,11.1,38.25,38.25
105,22.3,27.4,19.7,84.0,0.76,6.9,6.7,11.1,26.583333333333332,26.5833333333333
106,22.0,26.9,20.0,76.0,0.0,6.9,11.7,22.2,15.416666666666666,55.8515476190476
107,22.4,26.2,20.0,79.0,0.0,6.6,9.8,14.8,41.375,41.375
108,23.2,28.4,20.1,78.0,0.25,6.9,9.8,11.1,25.541666666666668,45.62857142857145
